CompanyName,BathroomRenovation_Luxury,BathroomRenovation_Standard,Window_Wood,Window_PVC,Window_Aluminum,Location
"Acme Renovations",15000,7000,800,500,600,Milano
"Global Home Solutions",18000,8000,900,550,650,Giardini Naxos
"Premier Bath & Build",16500,7500,850,525,625,Milano
"Elite Interiors Group",20000,9000,1000,600,700,Giardini Naxos
"Renovate Right Now",14000,6500,750,475,575,Milano
"Coastal Living Design",17000,7800,920,560,660,Giardini Naxos
"Urban Oasis Remodeling",15500,7200,820,510,610,Milano
"Mediterranean Dream Homes",19000,8500,950,575,675,Giardini Naxos
"Pro Home Improvement",14500,6800,780,490,590,Milano
"Sunrise Construction",17500,7900,930,565,665,Giardini Naxos